jornal,coluna,data,titulo,link,metaforico
Folha de S. Paulo,Reuters,2001-06-15,"Apesar de protestos, EUA executam esquizofrênico",https://www1.folha.uol.com.br/folha/reuters/ult112u2519.shtml,0
Folha de S. Paulo,Equilibrio,2001-05-07,Lacrar o estômago para não morrer pela boca,https://www1.folha.uol.com.br/fsp/equilibrio/eq0507200113.htm,0
Folha de S. Paulo,Equilíbrio e Saúde,2001-05-07,Cirurgias dão esperança contra obesidade mórbida,https://www1.folha.uol.com.br/folha/equilibrio/noticias/ult263u194.shtml,0
Folha de S. Paulo,Equilibrio,2001-12-07,Fasano ensina culinária a pacientes de ONG,https://www1.folha.uol.com.br/fsp/equilibrio/eq1207200115.htm,0
Folha de S. Paulo,Reuters,2001-07-19,Novo remédio para esquizofrenia promete menos efeito colateral,https://www1.folha.uol.com.br/folha/reuters/ult112u3660.shtml,0
Folha de S. Paulo,Equilibrio,2001-07-26,Novo medicamento trata esquizofrenia,https://www1.folha.uol.com.br/fsp/equilibrio/eq2607200103.htm,0
Folha de S. Paulo,Equilíbrio e Saúde,2001-07-26,Chega ao Brasil novo medicamento para tratar esquizofrenia,https://www1.folha.uol.com.br/folha/equilibrio/noticias/ult263u240.shtml,0
Folha de S. Paulo,Reuters,2001-06-08,Incêndio em asilo de doentes mentais mata 25 na Índia,https://www1.folha.uol.com.br/folha/reuters/ult112u4288.shtml,0
Folha de S. Paulo,Cotidiano,2001-12-08,"Família é ""rede"" de proteção",https://www1.folha.uol.com.br/fsp/cotidian/ff1208200128.htm,0
Folha de S. Paulo,Cotidiano,2001-12-08,Esquizofrenia é líder em gastos,https://www1.folha.uol.com.br/fsp/cotidian/ff1208200127.htm,0
Folha de S. Paulo,Cotidiano,2001-12-08,"Problema mental pode ser ""camuflado""",https://www1.folha.uol.com.br/fsp/cotidian/ff1208200126.htm,0
Folha de S. Paulo,Equilíbrio e Saúde,2001-12-08,"Esquizofrenia pode ser ""camuflada""",https://www1.folha.uol.com.br/folha/equilibrio/noticias/ult263u300.shtml,0
Folha de S. Paulo,Equilíbrio e Saúde,2001-12-08,"Família deve agir como ""rede"" de proteção para esquizofrênicos",https://www1.folha.uol.com.br/folha/equilibrio/noticias/ult263u302.shtml,0
Folha de S. Paulo,Ciência,2001-08-13,Remédios para malária e esquizofrenia são usados contra vaca louca,https://www1.folha.uol.com.br/folha/ciencia/ult306u4592.shtml,0
Folha de S. Paulo,Reuters,2001-08-14,Cientistas ainda não estão confiantes em cura do mal da vaca louca,https://www1.folha.uol.com.br/folha/reuters/ult112u4627.shtml,0
Folha de S. Paulo,Ciência,2001-08-15,""" Terapia contra vaca louca será testada no homem""",https://www1.folha.uol.com.br/fsp/ciencia/fe1508200104.htm,0
Folha de S. Paulo,Ciência,2001-08-16,Combate à variação humana do mal da vaca louca mobiliza cientistas,https://www1.folha.uol.com.br/folha/ciencia/ult306u4618.shtml,0
Folha de S. Paulo,Ciência,2001-09-25,Estudo mapeia danos cerebrais causados pela esquizofrenia,https://www1.folha.uol.com.br/folha/ciencia/ult306u4930.shtml,0
Folha de S. Paulo,Equilibrio,2001-10-18,Mentes perturbadas,https://www1.folha.uol.com.br/fsp/equilibrio/eq1810200106.htm,0
Folha de S. Paulo,BBC,2001-10-23,Autoridades de saúde pedem desculpas a George Harrison,https://www1.folha.uol.com.br/folha/bbc/ult272u6836.shtml,0
Folha de S. Paulo,Ciência,2001-05-11,Recomeça caça a genes do comportamento,https://www1.folha.uol.com.br/fsp/ciencia/fe0511200101.htm,0
Folha de S. Paulo,Ilustrada,2001-07-11,Guitarra lendária de Lanny Gordin volta em CD,https://www1.folha.uol.com.br/fsp/ilustrad/fq0711200113.htm,0
Folha de S. Paulo,Ciência,2001-12-11,"Cuidado intensivo não reduz violência em psicóticos, diz estudo",https://www1.folha.uol.com.br/folha/ciencia/ult306u5294.shtml,0
Folha de S. Paulo,Ilustrada,2001-11-17,O falatório que virou poesia,https://www1.folha.uol.com.br/fsp/ilustrad/fq1711200121.htm,0
Folha de S. Paulo,Ilustrada,2001-11-29,Lanny Gordin se apresenta no MAM depois de quase 30 anos,https://www1.folha.uol.com.br/folha/ilustrada/ult90u19406.shtml,0
Folha de S. Paulo,Mundo,2003-03-15,Francês é acusado de matar a mãe a marteladas,https://www1.folha.uol.com.br/folha/mundo/ult94u34454.shtml,0
Folha de S. Paulo,Ciência,2001-10-12,Geneticistas fecham cerco à esquizofrenia,https://www1.folha.uol.com.br/fsp/ciencia/fe1012200101.htm,0
Folha de S. Paulo,Opinião,2001-12-12,Novos rumos na saúde mental,https://www1.folha.uol.com.br/fsp/opiniao/fz1212200110.htm,0
Folha de S. Paulo,Equilíbrio e Saúde,2001-12-15,Unifesp cria site para disseminar informações sobre esquizofrenia,https://www1.folha.uol.com.br/folha/equilibrio/noticias/ult263u691.shtml,0
Folha de S. Paulo,Cotidiano,2001-12-30,Identificação precoce pode evitar doença,https://www1.folha.uol.com.br/fsp/cotidian/ff3012200118.htm,0
Folha de S. Paulo,Reuters,2002-02-01,"Novo medicamento adia recaídas de esquizofrênico, conclui estudo",https://www1.folha.uol.com.br/folha/reuters/ult112u10188.shtml,0
Folha de S. Paulo,Reuters,2002-02-01,Diretor italiano finaliza filme sobre paciente-amante de Jung,https://www1.folha.uol.com.br/folha/reuters/ult112u10191.shtml,0
Folha de S. Paulo,Ilustrada,2001-04-13,"""A Cela"" exprime perversão cultural",http://www1.folha.uol.com.br/fsp/ilustrad/fq1304200114.htm,0
Folha de S. Paulo,Reuters,2002-12-01,"Críticos norte-americanos aclamam filme ""A Beautiful Mind""",https://www1.folha.uol.com.br/folha/reuters/ult112u10587.shtml,0
Folha de S. Paulo,Ciência,2002-01-20,A dança das cabeças,https://www1.folha.uol.com.br/fsp/ciencia/fe2001200202.htm,0
Folha de S. Paulo,Ilustrada,2002-01-21,Russell Crowe e Sissy Spacek são eleitos melhores atores de drama,https://www1.folha.uol.com.br/folha/ilustrada/ult90u20667.shtml,0
Folha de S. Paulo,Reuters,2002-01-21,"""A Beautiful Mind"" é o maior premiado do Globo de Ouro",https://www1.folha.uol.com.br/folha/reuters/ult112u10937.shtml,0
Folha de S. Paulo,Ilustrada,2002-01-22,Howard e Luhrmann são indicados a prêmio do sindicato dos diretores,https://www1.folha.uol.com.br/folha/ilustrada/ult90u20729.shtml,0
Folha de S. Paulo,Reuters,2002-01-28,"""Moulin Rouge"" e ""O Senhor dos Anéis"" disputam Oscar britânico",https://www1.folha.uol.com.br/folha/reuters/ult112u11213.shtml,0
Folha de S. Paulo,Ilustrada,2002-01-30,Longa traz polêmica nas entrelinhas,https://www1.folha.uol.com.br/fsp/ilustrad/fq3001200211.htm,0
Folha de S. Paulo,Equilibrio,2002-07-02,Teste da SFC,https://www1.folha.uol.com.br/fsp/equilibrio/eq0702200217.htm,0
Folha de S. Paulo,Mundo,2002-08-02,Assassino diz ter matado sócio afegão em defesa dos EUA,https://www1.folha.uol.com.br/fsp/mundo/ft0802200204.htm,0
Folha de S. Paulo,Ilustrada,2002-02-13,Afogado em número,https://www1.folha.uol.com.br/fsp/ilustrad/fq1302200213.htm,0
Folha de S. Paulo,Ilustrada,2002-02-13,Matemática de Howard soma oito categorias,https://www1.folha.uol.com.br/fsp/ilustrad/fq1302200208.htm,0
Folha de S. Paulo,Ilustrada,2002-02-13,Filme sobre matemático esquizofrênico recebe 8 indicações,https://www1.folha.uol.com.br/folha/ilustrada/ult90u21239.shtml,0
Folha de S. Paulo,Reuters,2002-02-14,"""Uma Mente Brilhante"" é inteligente e fascinante",https://www1.folha.uol.com.br/folha/reuters/ult112u11951.shtml,0
Folha de S. Paulo,Ilustrada,2002-02-17,"Com 400 filmes, festival de Berlim traz visão do mundo e reflexão",https://www1.folha.uol.com.br/folha/ilustrada/ult90u21351.shtml,0
Folha de S. Paulo,Mundo,2002-02-18,Começa julgamento da mãe que assassinou os cinco filhos nos EUA,https://www1.folha.uol.com.br/folha/mundo/ult94u37219.shtml,0
Folha de S. Paulo,Ilustrada,2002-02-19,"Atores do filme ""Uma Mente Brilhante"" estão no ""CineView"", do Telecine",https://www1.folha.uol.com.br/fsp/ilustrad/fq1902200202.htm,0
Folha de S. Paulo,Mundo,2002-02-20,EUA sustam execução de doente mental,https://www1.folha.uol.com.br/fsp/mundo/ft2002200209.htm,0
Folha de S. Paulo,Mercado,2002-02-25,"""Mente Brilhante"" ignora idéias e economia",https://www1.folha.uol.com.br/fsp/dinheiro/fi2502200206.htm,0
Folha de S. Paulo,Mundo,2002-02-25,Esquizofrênico escapa da pena de morte nos EUA,https://www1.folha.uol.com.br/folha/mundo/ult94u37550.shtml,0
Folha de S. Paulo,Ciência,2002-12-03,Enzima fornece diagnóstico de Alzheimer,https://www1.folha.uol.com.br/fsp/ciencia/fe1203200201.htm,0
Folha de S. Paulo,Mundo,2002-12-03,Mãe que afogou os cinco filhos aguarda a decisão do júri,https://www1.folha.uol.com.br/folha/mundo/ult94u38285.shtml,0
Folha de S. Paulo,Reuters,2002-03-13,Estudos associam genes do cromossomo 22 à esquizofrenia,https://www1.folha.uol.com.br/folha/reuters/ult112u13121.shtml,0
Folha de S. Paulo,Reuters,2002-03-14,"Autora de ""Uma Mente Brilhante"" rebate críticas a John Nash",https://www1.folha.uol.com.br/folha/reuters/ult112u13185.shtml,0
Folha de S. Paulo,Mundo,2002-03-15,"Maconha vicia menos que cigarro, diz estudo",https://www1.folha.uol.com.br/fsp/mundo/ft1503200209.htm,0
Folha de S. Paulo,Ilustrada,2002-03-15,"""Uma Mente Brilhante"" é críticado por omitir ""lado B"" de John Nash",https://www1.folha.uol.com.br/folha/ilustrada/ult90u22164.shtml,0
Folha de S. Paulo,Ilustrada,2002-03-18,"""Mente Brilhante"" tem Oscar ameaçado",https://www1.folha.uol.com.br/fsp/ilustrad/fq1803200209.htm,0
Folha de S. Paulo,Reuters,2002-03-19,Mapeamento do cérebro poderia ajudar esquizofrênicos e depressivos,https://www1.folha.uol.com.br/folha/reuters/ult112u13416.shtml,0
Folha de S. Paulo,Ilustrada,2002-03-21,Hollywood mantém o gosto pelos filmes sobre problemas mentais,https://www1.folha.uol.com.br/folha/ilustrada/ult90u22334.shtml,0
Folha de S. Paulo,Ilustrada,2002-03-22,"Público elege ""O Senhor dos Anéis"" e ""Uma Mente Brilhante""",https://www1.folha.uol.com.br/folha/ilustrada/ult90u22398.shtml,0
Folha de S. Paulo,Ilustrada,2002-03-23,Livro de Nasar supera anêmico filme de Howard,https://www1.folha.uol.com.br/fsp/ilustrad/fq2303200213.htm,0
Folha de S. Paulo,Ilustrada,2002-03-23,"""Quis passar o espírito de vida de Nash para o público"", diz Crowe",https://www1.folha.uol.com.br/fsp/ilustrad/fq2303200212.htm,0
Folha de S. Paulo,Cotidiano,2002-03-24,"Brincando de aprender, a ciência motiva as crianças",https://www1.folha.uol.com.br/fsp/cotidian/ff2403200227.htm,0
Folha de S. Paulo,Ilustrada,2002-03-25,"Oscar consagra Ron Howard como diretor por ""Uma Mente Brilhante""",https://www1.folha.uol.com.br/folha/ilustrada/ult90u22457.shtml,0
Folha de S. Paulo,Ilustrada,2002-03-29,"Perturbado com escolha no BBB, André explica por que mudou de nome",https://www1.folha.uol.com.br/folha/ilustrada/ult90u22598.shtml,0
Folha de S. Paulo,Equilibrio,2002-04-04,S.O.eSq,http://www1.folha.uol.com.br/fsp/equilibrio/eq0404200215.htm,0
Folha de S. Paulo,Equilibrio,2002-04-04,Grupos são remédio para muitas doenças,http://www1.folha.uol.com.br/fsp/equilibrio/eq0404200212.htm,0
Folha de S. Paulo,Equilíbrio e Saúde,2002-04-04,Grupo de esquizofrenicos quer acabar com estigma da doença,http://www1.folha.uol.com.br/folha/equilibrio/noticias/ult263u978.shtml,0
Folha de S. Paulo,Ciência,2002-04-16,Genoma vira arma contra males do cérebro,http://www1.folha.uol.com.br/fsp/ciencia/fe1604200201.htm,0
Folha de S. Paulo,TVFolha,2002-12-05,"Ator fala da tristeza pelo fim da série ""Ally McBeal""",http://www1.folha.uol.com.br/fsp/tvfolha/tv1205200211.htm,0
Folha de S. Paulo,Equilíbrio e Saúde,2002-05-18,"""Companhia"" é saída para tratar esquizofrenia em manicômios",http://www1.folha.uol.com.br/folha/equilibrio/noticias/ult263u1149.shtml,0
Folha de S. Paulo,Opinião,2002-05-24,Mentes brilhantes e educação caótica,http://www1.folha.uol.com.br/fsp/opiniao/fz2405200210.htm,0
Folha de S. Paulo,Ciência,2002-05-26,Esquizofrenia e PET,http://www1.folha.uol.com.br/fsp/ciencia/fe2605200205.htm,0
Folha de S. Paulo,Cotidiano,2002-06-16,É necessário falar do sofrimento ao médico,http://www1.folha.uol.com.br/fsp/cotidian/ff1606200222.htm,0
Folha de S. Paulo,Equilibrio,2002-06-20,Pirulito especial para criança doente,http://www1.folha.uol.com.br/fsp/equilibrio/eq2006200210.htm,0
Folha de S. Paulo,Equilibrio,2002-06-20,Medidas de prevenção para mal-estar mental,http://www1.folha.uol.com.br/fsp/equilibrio/eq2006200212.htm,0
Folha de S. Paulo,Equilibrio,2002-06-20,Saúde mental exige tanto cuidado quanto a saúde do corpo,http://www1.folha.uol.com.br/folha/equilibrio/noticias/ult263u1285.shtml,0
Folha de S. Paulo,Equilibrio,2002-01-07,Estresse chega até a pescadores artesanais,http://www1.folha.uol.com.br/folha/equilibrio/noticias/ult263u1316.shtml,0
Folha de S. Paulo,Dinheiro,2002-01-07,Nasdaq tem pior fechamento em pontos em cinco anos,http://www1.folha.uol.com.br/folha/dinheiro/ult91u50440.shtml,0
Folha de S. Paulo,Reuters,2002-04-07,Homem que esfaqueou ex-Beatle George Harrison em 99 é libertado,http://www1.folha.uol.com.br/folha/reuters/ult112u18173.shtml,0
Folha de S. Paulo,BBC,2002-05-07,Homem que atacou George Harrison será libertado,http://www1.folha.uol.com.br/folha/bbc/ult272u12369.shtml,0
Folha de S. Paulo,Cotidiano,2002-07-23,SUS amplia lista de remédios distribuídos,http://www1.folha.uol.com.br/folha/cotidiano/ult95u55411.shtml,0
Folha de S. Paulo,BBC,2002-10-08,Genes e vírus podem provocar esquizofrenia,http://www1.folha.uol.com.br/folha/bbc/ult272u13400.shtml,0
Folha de S. Paulo,Cotidiano,2002-08-18,Paciente de terapia experimental é atendido,http://www1.folha.uol.com.br/fsp/cotidian/ff1808200205.htm,0
Folha de S. Paulo,Ilustrada,2002-08-21,"Oscar de melhor filme, ""Uma Mente Brilhante"" chega em vídeo e DVD",http://www1.folha.uol.com.br/folha/ilustrada/ult90u26707.shtml,0
Folha de S. Paulo,Reuters,2002-08-23,"""Nova forma de vida"" pode explicar causa da esquizofrenia",http://www1.folha.uol.com.br/folha/reuters/ult112u20339.shtml,0
Folha de S. Paulo,Mundo,2002-08-27,Americano desaparecido em 11 de setembro é encontrado em Nova York,http://www1.folha.uol.com.br/folha/mundo/ult94u44721.shtml,0
Folha de S. Paulo,Cotidiano,2002-09-15,ESQUIZOFRENIA,http://www1.folha.uol.com.br/fsp/cotidian/ff1509200214.htm,0
Folha de S. Paulo,Ciência,2002-09-18,Franceses encontram ligação entre esquizofrenia e anomalia genética,http://www1.folha.uol.com.br/folha/ciencia/ult306u7218.shtml,0
Folha de S. Paulo,Ciência,2002-09-23,Mutação multiplica o risco de Alzheimer,http://www1.folha.uol.com.br/fsp/ciencia/fe2309200201.htm,0
Folha de S. Paulo,Ciência,2002-02-10,Conselho critica seleção de comportamento,http://www1.folha.uol.com.br/fsp/ciencia/fe0210200201.htm,0
Folha de S. Paulo,Mundo,2002-07-10,Polícia russa prende homem acusado de decapitar menina de 8 anos,http://www1.folha.uol.com.br/folha/mundo/ult94u46112.shtml,0
Folha de S. Paulo,Ciência,2002-10-29,Cientistas dizem ter descoberto fator genético da esquizofrenia,http://www1.folha.uol.com.br/folha/ciencia/ult306u7555.shtml,0
Folha de S. Paulo,Mundo,2002-06-11,Texas deve executar doente mental,http://www1.folha.uol.com.br/fsp/mundo/ft0611200218.htm,0
Folha de S. Paulo,BBC,2002-06-11,Uso de cannabis pode ter ligação com esquizofrenia,http://www1.folha.uol.com.br/folha/bbc/ult272u15434.shtml,0
Folha de S. Paulo,Mundo,2002-07-11,Suprema Corte mantém execução de doente,http://www1.folha.uol.com.br/fsp/mundo/ft0711200211.htm,0
Folha de S. Paulo,Opinião,2002-11-11,Assassinato dos pais,http://www1.folha.uol.com.br/fsp/opiniao/fz1111200211.htm,0
Folha de S. Paulo,Folhateen,2002-11-11,Uso medicinal de cânabis para casos de esquizofrenia,http://www1.folha.uol.com.br/fsp/folhatee/fm1111200221.htm,0
Folha de S. Paulo,Dinheiro,2002-11-19,PAINEL S.A.,http://www1.folha.uol.com.br/fsp/dinheiro/fi1911200201.htm,0
Folha de S. Paulo,BBC,2002-11-22,Estudos ligam uso de maconha a depressão e esquizofrenia,http://www1.folha.uol.com.br/folha/bbc/ult272u15907.shtml,0
Folha de S. Paulo,Pensata,2002-11-28,Do parricídio,http://www1.folha.uol.com.br/folha/pensata/ult510u84.shtml,0
Folha de S. Paulo,Ciência,2002-11-28,Cientistas criam ratos esquizofrênicos para estudar doença,http://www1.folha.uol.com.br/folha/ciencia/ult306u7813.shtml,0
Folha de S. Paulo,Equilibrio,2002-05-12,Maconha e saúde mental,http://www1.folha.uol.com.br/fsp/equilibrio/eq0512200205.htm,0
Folha de S. Paulo,Ilustrada,2002-05-12,"""Ônibus 174"" usa sequestro para criticar o Estado, diz diretor",http://www1.folha.uol.com.br/folha/ilustrada/ult90u29193.shtml,0
Folha de S. Paulo,Reuters,2002-10-12,Exame cerebral pode indicar sinais iniciais de psicose,http://www1.folha.uol.com.br/folha/reuters/ult112u25634.shtml,0
Folha de S. Paulo,Ciência,2002-12-15,Direção perigosa,http://www1.folha.uol.com.br/fsp/ciencia/fe1512200201.htm,0
Folha de S. Paulo,Ilustrada,2003-03-01,"Cronenberg cria anti-""Mente Brilhante""",http://www1.folha.uol.com.br/fsp/ilustrad/fq0301200325.htm,0
Folha de S. Paulo,Opinião,2003-05-01,Seriam idênticos os clones?,http://www1.folha.uol.com.br/fsp/opiniao/fz0501200309.htm,0
Folha de S. Paulo,BBC,2003-09-01,Cronenberg mostra esquizofrenia 'física' em 'Spider,http://www1.folha.uol.com.br/folha/bbc/ult272u17094.shtml,0
Folha de S. Paulo,Dinheiro,2003-01-23,Empresas anunciam bons resultados e Bolsas de NY abrem em alta,http://www1.folha.uol.com.br/folha/dinheiro/ult91u62411.shtml,0
Folha de S. Paulo,+mais!,2003-01-26,"Para compreender a ""vida dura""",http://www1.folha.uol.com.br/fsp/mais/fs2601200303.htm,0
Folha de S. Paulo,Cotidiano,2003-02-02,Especialistas vêem aumento de viciados,http://www1.folha.uol.com.br/fsp/cotidian/ff0202200303.htm,0
Folha de S. Paulo,Ciência,2003-02-15,"AAAS: Reunião lança idéia de um ""médico artificial""",https://www1.folha.uol.com.br/fsp/ciencia/fe1502200303.htm,0
Folha de S. Paulo,Ilustrada,2003-02-22,"""Complô"" gera piada sobre Stanislaw Lem",https://www1.folha.uol.com.br/folha/ilustrada/ult90u30900.shtml,0
Folha de S. Paulo,Ciência,2003-03-24,Comportamento: Jogo também parece fascinar os macacos,http://www1.folha.uol.com.br/fsp/ciencia/fe2403200301.htm,0
Folha de S. Paulo,Ilustrada,2003-04-16,Sob as ordens do bispo,http://www1.folha.uol.com.br/fsp/ilustrad/fq1604200306.htm,0
Folha de S. Paulo,Opinião,2003-04-20,Editoriais: A QUÍMICA DA VIDA,http://www1.folha.uol.com.br/fsp/opiniao/fz2004200302.htm,0
Folha de S. Paulo,Cotidiano,2003-04-20,"Brasil Juvenil: Distúrbio mental afeta até 3,4 mi de jovens",http://www1.folha.uol.com.br/fsp/cotidian/ff2004200316.htm,0
Folha de S. Paulo,Cotidiano,2003-04-20,Abrigo de crianças busca prevenção,https://www1.folha.uol.com.br/fsp/cotidian/ff2004200317.htm,0
Folha de S. Paulo,Cotidiano,2003-03-05,Panorâmica - Limeira: Rapaz é acusado de matar os pais e ferir irmãos em suposto surto psicótico,http://www1.folha.uol.com.br/fsp/cotidian/ff0305200308.htm,0
Folha de S. Paulo,+mais!,2003-04-05,+ livros: A alquimia particular de Jung,http://www1.folha.uol.com.br/fsp/mais/fs0405200313.htm,0
Folha de S. Paulo,Cotidiano,2003-06-05,Acusado de matar pais em Limeira passará por exame de sanidade,http://www1.folha.uol.com.br/folha/cotidiano/ult95u74314.shtml,0
Folha de S. Paulo,Cotidiano,2003-05-14,Promotoria denuncia acusado de matar os pais em Limeira (SP),https://www1.folha.uol.com.br/folha/cotidiano/ult95u74825.shtml,0
Folha de S. Paulo,Mercado,2003-06-17,Eli Lilly investe US$ 10 mi para ampliar produção do concorrente do Viagra,https://www1.folha.uol.com.br/folha/dinheiro/ult91u68902.shtml,0
Folha de S. Paulo,Equilíbrio,2003-07-08,Diabetes tipo 1 reduz capacidade física,https://www1.folha.uol.com.br/fsp/equilibrio/eq0708200305.htm,0
Folha de S. Paulo,Ciência,2003-11-08,"Pesquisadores dos EUA fazem ""atlas"" do cérebro",https://www1.folha.uol.com.br/folha/ciencia/ult306u9775.shtml,0
Folha de S. Paulo,Ilustrada,2003-08-14,Paris vê obras de Bispo do Rosário,https://www1.folha.uol.com.br/fsp/ilustrad/fq1408200320.htm,0
Folha de S. Paulo,Ciência,2003-01-09,Holanda aprova prescrição de maconha como remédio,https://www1.folha.uol.com.br/folha/ciencia/ult306u10013.shtml,0
Folha de S. Paulo,Mundo,2003-02-09,Holanda começa a entregar maconha para farmácias,https://www1.folha.uol.com.br/fsp/mundo/ft0209200310.htm,0
Folha de S. Paulo,BBC,2003-05-09,Depressão e esquizofrenia podem ter mesma causa genética,https://www1.folha.uol.com.br/folha/bbc/ult272u23879.shtml,0
Folha de S. Paulo,Ilustrada,2003-09-09,Triunfo da distração,https://www1.folha.uol.com.br/fsp/ilustrad/fq0909200302.htm,0
Folha de S. Paulo,Ilustrada,2003-09-16,Zezé Polessa volta a SP com espetáculo de Miguel Falabella,https://www1.folha.uol.com.br/folha/ilustrada/ult90u36886.shtml,0
Folha de S. Paulo,Ilustrada,2003-09-23,Peça enxerga síndromes psíquicas com humor,https://www1.folha.uol.com.br/folha/ilustrada/ult90u37146.shtml,0
Folha de S. Paulo,Ilustrada,2003-09-23,"Atores de ""Síndromes"" se identificam com personagens",https://www1.folha.uol.com.br/folha/ilustrada/ult90u37147.shtml,0
Folha de S. Paulo,Ilustrada,2003-09-25,Falabella costura trama de loucuras modernas,https://www1.folha.uol.com.br/fsp/ilustrad/fq2509200312.htm,0
Folha de S. Paulo,Cotidiano,2003-09-30,Ministro manda auditar psicocirurgias,https://www1.folha.uol.com.br/fsp/cotidian/ff3009200301.htm,0
Folha de S. Paulo,Ciência,2003-01-10,Cientistas encontram possível ligação entre criatividade e loucura,https://www1.folha.uol.com.br/folha/ciencia/ult306u504292.shtml,0
